,left_elbow_roll,left_elbow_pitch,left_elbow_yaw,right_elbow_roll,right_elbow_pitch,right_elbow_yaw,left_knee_roll,left_knee_pitch,left_knee_yaw,right_knee_roll,right_knee_pitch,right_knee_yaw,left_hip_roll,left_hip_pitch,left_hip_yaw,right_hip_roll,right_hip_pitch,right_hip_yaw,left_ankle_roll,left_ankle_pitch,left_ankle_yaw,right_ankle_roll,right_ankle_pitch,right_ankle_yaw
215,-78.58900070970968,8.2252733880308,-125.51010781493686,-80.7518019718703,10.559509390757022,-86.44669885395314,-53.13021987617697,-14.108866912754891,-80.59937432418252,-77.84506402739132,-8.229752047204942,-75.85038950204105,-49.853624302739185,-104.50048235216808,-91.89072712156255,-51.899128469310334,-77.19977121083117,-97.25363963258225,-84.63951210146008,-68.44373285369159,-89.96550058089571,-70.99244571482232,-34.1956866201427,-102.25019038302423
216,-80.93257128973201,11.205762138884793,-143.22572961500927,-80.6695965562582,12.852604644300301,-87.60502058940304,-60.490639359462016,-14.256300253800205,-79.53652540995056,-80.97364486272983,-10.609632309314655,-74.32467353928425,-50.00162993399683,-104.32800870995158,-91.23384771554916,-50.505673638526495,-77.94170276587984,-96.62689155716215,-85.68706830679551,-67.15110574795641,-89.76440006397621,-71.76821240872461,-38.26471790442774,-100.14540978574989
217,-81.37128331965462,10.921946697291359,-146.44464697675718,-80.38926278727611,14.524498361202946,-89.23706725617588,-68.522732996479,-15.926818487073012,-77.00229435450038,-83.55900244115409,-11.31611364077743,-74.09037565324219,-50.090304553344346,-98.41374805869344,-90.52943034884406,-49.637112515001455,-76.84477734402272,-95.94079460490752,-86.92658369903607,-68.88621726573574,-88.98939023422106,-72.51621740893955,-37.400099904414766,-100.25609963368886
218,-81.05836121071505,10.904737308853653,-144.91794322022736,-80.13562275657462,14.465402178898616,-89.1986808274297,-77.33299828721564,-19.755582963550765,-75.38210581437565,-84.62334172857818,-15.621399424755218,-74.40334601160204,-51.21136891760019,-86.30803765158718,-86.79853526447239,-48.71144166933085,-79.19665671069181,-92.54197290850969,-88.00824977517406,-68.47225201532127,-88.31899194895419,-72.69391748147979,-44.65351633405973,-94.37428675979724
219,-80.72782928057137,10.760872735821462,-143.2483506660484,-80.04778501103515,14.240776667583408,-88.7595818257752,-79.36461048633433,-23.749716632134763,-75.12299314625348,-85.95415850919589,-15.604725978373805,-75.43784271373319,-53.54920642401722,-71.37156724275155,-83.90071856616167,-48.21779990574071,-78.87893317275548,-91.5470295329139,-87.980404007063,-69.0434298180321,-88.22206741377171,-73.07151407211035,-42.68895196702441,-92.79602178899619
220,-80.60421037909326,10.511095491767387,-143.1270401851089,-80.05134567557484,14.065596052219288,-88.35066078638867,-79.28060164504187,-24.77925490575413,-75.40280818814772,-86.4448179482633,-15.59046709651363,-75.81964906082987,-53.74360993305905,-70.29587773690157,-83.11715693221925,-48.04101955829823,-78.72526183810648,-91.15875277767248,-87.91810354997831,-69.03614719158564,-88.2648851934931,-73.31920404167947,-42.272583013177766,-92.02954457100867
221,-80.46402123007621,11.437101246986845,-142.73458955027584,-80.14917894101502,13.980240093646685,-88.3418041195133,-81.18473737204742,-25.226654024967655,-75.34604490850028,-86.24899910638867,-14.541746701212267,-76.1734787181485,-55.86303104063859,-58.37344722221646,-82.95069397287462,-48.611763809523325,-77.10491774087994,-91.38041022893887,-87.90953096771314,-69.00862543296769,-88.43349657193258,-73.40363434665363,-40.74581794982469,-94.62016830217358
222,-80.43140435964388,11.440661072824756,-142.41465962226334,-80.14178567391573,13.816451733733132,-88.13794864250683,-80.95840519721007,-25.700534846348262,-75.3176925020439,-86.48894636781047,-14.125891342546456,-76.32985544282838,-56.49770378727635,-55.69507445198372,-82.74619653306162,-48.90352169241793,-75.64953107105381,-91.40570987079684,-87.74392405042519,-69.36133217882117,-88.49944151917231,-73.42361521617104,-41.666317880337196,-94.39158309371034
223,-80.31877398450241,11.522116889942529,-142.26035985608442,-80.12013953445312,13.52357397135601,-87.73598392508826,-82.23059701587647,-26.802645230704844,-74.59436425723608,-86.55042956022085,-14.209478929840316,-76.36558230698672,-56.833356775801214,-55.4224286214125,-82.15014106264798,-49.12190904004195,-75.28142092446748,-91.18549553123589,-87.9203910196102,-69.94296793332474,-88.0022156562507,-73.34202370617591,-43.31139684313495,-93.33300091235343
224,-80.14603798105813,11.778514991215587,-141.40620661051278,-80.13611929159461,12.9984042614571,-86.52544336235272,-82.49470056911463,-26.04650006309536,-75.03662334219398,-86.7662322520045,-16.976499338674444,-74.82004337398891,-58.128178950338935,-51.03444011429521,-82.3273796882793,-49.18956631251984,-75.22511590716861,-90.30198363802404,-87.89563908837418,-69.12939918965614,-88.38438515314137,-73.34685303354364,-49.6218725894621,-89.67802320191572
